Количество звёзд,Текст рецензии,Количество слов
1,"1Чистый ужас не для слабонервных, каюсь- не дочитала.История  ""бедной"" героини началась с изнасилования....нет, не героини, а несчастной девушки, которая слишком бережно относилась - с точки зрения героини- к своему телу и отказалась переспать за оценку с профессором. За это героиня вселила в нее духа и велела лечь под кого-то и быстренько забеременеть. Все это сопровождается вот такими размышлениями:""Ну, дала бы ему, не обломилась. Вижу же, что не девочка давно. Так нет, гордость взыграла… Ну и где теперь твоя гордость? Предмета-то все равно не знаешь. И если подружки смогут пересдать, вызубрив материал заново, то ты… в общем, сама дура. Не место таким в целителях. Да и в магичках, если уж на то пошло. Замуж по залету за какого-нибудь увальня-подкаблучника – вот и весь сказ.""По отзывам читавшим эту мерзость, дальше она убивает все , что движется, но лично мне и этого хватило.Что в голове у автора?!",134
1,"1Отфильтровав мат от нормальной речи, я готова выразить свое мнение.Я снова попалась на аннотацию, она оказалась в тысячу раз интереснее, чем эта диковинная дичь на 900+ страниц.Где-то к 700+- странице, вроооооде где-то как-то криво-косо, выглянул намек на хоррор, и то перед этим пришлось пережить весь ""ужас"" От любовной ветки гг, она тут вообще занимает 80% всего, и какую-то чушь про котов, которые жили в семье, у которой поселился главный герой.На протяжении всей книги, я все время возвращалась к аннотации и обложке, чтобы напомнить себе что я читаю.Это одна из душных книг, которые мне встречались.если на улице +27 , открой эту книгу и в комнате будет все +37 от духоты всего происходящего в ней.Сюжет настолько затянутый, что мне чуть самой не понадобилась церемония , которая придала бы мне терпения.После того как я отмучалась ( а ведь не стала бросать эту книгу на середине, как бывает у меня с произведениями, которые мне не нравятся), то решила пойти почитать отзывы, дико стало интересно, сходятся ли мнения людей с моим, или может со мной что-то не так, и я не ценю ""шедевры""?Сначала я пришла в негодование от отзывов : ""Очень интересно, авторский слог, нет провисания сюжета, живые персонажи"", но опустила свой взор ниже,на другой отзыв,а там ... О чудо! (Далее дословно ) :"" Г**но- уложился в одно слово ""Я пожалуй присоединюсь к немногословному автору отзыва о книге, который выразился коротко и лаконично.",208
1,"0.5Когда книга вроде бы пытается говорить о правильном, но делает это очень криво, очень алогично.Когда книга пытается быть дарком и романтическим фэнтези одновременно, но проваливается и в том, и в том воплощении.Когда то, что герой вопреки всему не помер ещё в первых главах от потери крови и сепсиса нельзя оправдать извечным ""это же магия"" даже внутри магического мира.",55
1,"1Во-первых, без перевода РОСМЭН: с меланхольной Миртл, времяворотом и смертеедами уже хотелось закинуть книгу подальше.Во-вторых, сын Гарри казался не четверокурсником, а трёхлеткой. Ему, действительно, не приходило в голову, что помимо изменения одного действия - может изменится вся история? Он кажется очень глупым.В-третьих, куда пропало волшебство жизни Гарри? Что это за рутина офисных клерков? Что стало с Роном? Где их дружба? Где та магия любви, что была в книгах Роулинг?В-четвертых, ребёнок Волан-де-Морта? Ну серьезно? Полна любви к нему, при родителях вроде Белатриссы и Волан-де-Морта?зачем? Зачееееем это написано?Кажется, это просто проект по бездонной бочке денег от пьесы в Лондоне… если бы можно было поставить 0 - я бы так и оценила",103
1,"1Волшебный мир со своей магией, силой, традициями и расами, его населяющими. Главная героиня умная, красивая, не робкого десятка, никогда не сдающаяся, порывистая, эмоциональная, целеустремленная, молодая девушка светлый эльф. Личность творческая, тонкая, ранимая, с огромным количеством разных идей и планов по их воплощению. Не хочешь заставим и поможем. А какие же тут мужчины.. Красивые, умные, самодостаточные, в меру нахальные, наглые, интеллигентные.. Выход есть всегда. Даже, если кажется, что нет выхода, то это не так, всегда найдется выход, даже маленькая дверца.. Прочитала буквально залпом, всю сразу, запоем, оторваться не могла. Читается легко и быстро, виден стиль и слог автора. Смеялась долго, с чувством, с толком, с расстановкой. Много смешных сцен, диалогов. Герои сильно позабавили, вдохновили и заинтриговали. Книга мне понравилась. Марина Орлова «Играю по своим правилам». Советую и рекомендую. Автору желаю вдохновения, муза и успехов в творчестве",135
1,1Не могу прочитать ни одну книгу на сайте. Есть только одни названия,12
1,"0Совершенно легкая книга. Фантастическая совершенно. И я сейчас говорю не про магический мир, печати, демонов, да и саму магию. А про те события, которые описываются в книге. Как-то сразу, абсолютно всё, у простой попаданки, домашней клуши, вдруг, все сразу, стало получаться. И с типографией, и с журналом и со своей внешностью, телом, мироощущением, пониманием, поступками, речью. Все такое нереальное, даже для волшебного мира и такое совсем уж детско-глупенькое.. Не может такого быть.. Вот совсем. Меня снедади жуткие сомнения в реальности происходящего. Да чтобы домашняя, кухонная клуша так себя вела и так все повернула и провернула и себя отстаивала.. Не может такого быть. Чтобы так все перевернулось, с ног на голову, в героях, характерах, поступках, ситуациях. Даже, что все нереально, фантастическая книга, но как-то все не продумано досконально, не прописано, глупо все, не мудрствуя лукаво, тупо, умно. Миг, и все изменилось, поменялось. Даже не было никакой иронии, смешных ситуаций, диалогов, самоиронии. Даже не усмехнулась. Довольно странное произведение, никаких таких глубоких эмоций не вызвало, ни смеха, ни восторгов, одно сплошное недоумение и неверие в происходящее. Мне не понравилось. Я в сомненьях, советовать или нет, не знаю. Матильда Аваланж «Суженая верховного демона».",186
1,"1Избранная шестерка, которая непонятно, чем занимается большую часть книги. Я честно давала этому слишком нашумевшему произведению несколько шансов, но оно так и не смогло меня зацепить. На протяжении 2/3 в книге ничего толком не происходит, кроме каких-то мутных рассуждений ни о чем и бесконечных любовных интриг в избранной шестеркой.  Ставлю 1 звезду чисто за интересную идею, которая напомнила ""Девятый дом"" Ли Бардуго, но совершенно разочаровала в своем воплощении.",66
1,"0Очень сложно писать об этой книге, если честно. Во-первых, тема сложная. Во-вторых, я, как обычно, не без претензий. Пока читала книгу, постоянно пыталась примерить на себя то, что испытали жители этого славного города... и понимала, что я была бы одной из первых, кто отправился бы на саночках на Пискарёвское...Помню, кстати, какое впечатление на меня произвело это... сложно даже назвать его клабищем... захоронение.В книге две части. В одной рассказы разных людей, переживших блокаду, которые авторы записывали, собирали долго, потом их попытались как-то тематически объединить. Хотя всё равно через всё рассказы проходит красной нитью слово ГОЛОД.Во второй части большую часть занимают выдержки из трёх дневников. Один был написан мальчиком, подростком. Второй писал учёный историк. А третий был написан чуть позже, сразу после окончания войны. Это, как утверждают авторы, прямое свидетельство, потому что писалось здесь и сейчас,  а не как рассказы первой части, которые уже являются воспоминаниями сквозь прожитые годы.В данном издании ещё есть две главы, которые не были опубликованы в советское время. Одна о неприглядной стороне блокады - каннибализме, вторая о т.н. ""ленинградском деле"", которое было уже после войны, когда сняли всю ленинградскую верхушку (читала об этом ранее в Детях Арбата).Также есть приложения из которых я поняла (вроде) к кому из авторов у меня претензии.Ну и, всё же скажу свои ""фи"".Первое, что мне не очень понравилось в БК, это стилистика некоторых авторских вставок. Да, русский язык не такой строгий в плане порядка слов в предложении, как, например, английский. Но... в плане литературности языка порядок всё же важен, а у одного из авторов, похоже, с этим периодически случались проблемы.Ну и, в принципе, авторские вставки чаще мешали, если честно. Не совсем мне понравилось как они её... ""собрали"". Какие-то повторы, ненужные пояснения... Но, естественно, если учитывать колоссальную работу, проделанную авторами, вообще то, что они решились на это - честь им и хвала, а это я так, придираюсь немного.Источник",291
1,"1Вещь, прочитанная за час. Книга, более или менее, вытаскивает своими иллюстрациями.  Текст написан плохо, посреди абзаца можно встретить совершенно другой кусок, никак логически не связанный с предыдущим. Скучно. Персонажам не сопереживаешь и, по сути, на них вообще плевать. Сюжета нет. Это скорее просто сменяющие друг друга события, которые никак не объясняются? Почему? Зачем? Нет ни одного ответа.Поверх всего этого графоманства лежит любовная любовь спустя неделю знакомства. Сюжетные повороты не вызывают никаких эмоций. Главный герой — ванильный до тошнотворности. Мечтает, страдает и хочет, чтобы его пожалели.. Меня бы кто пожалел, как говорится?Самое забавное — детей из приютов мы забираем в рандомных момент, это как пойдёт. Просто едем и забираем! Ура!Названия глав (особенно ближе к концу) это вообще ""сказка"". Горький шоколад, мандариновое мороженое, тёплый шарф, банановое капучино и т.д. и т. п. Звучит вкусно, да? Ничего подобного в тексте и в помине нет.Присутствуют также совершенно непонятно для чего вставленные сказки, не связанные с сюжетом, которые А. Полярный никогда не заканчивает. Противоречия героев своим же словам сводят какую-либо логику на ноль. Ничего не цепляет. Ничего не интересно.«Прочитай. Забудь» в самом начале — это единственные слова, имеющие ценность. Это дельный совет, уверяю! Читать не надо!",183
